,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
6986,Jon Madsen,Justin Wren,Jon Madsen,0.26,0.0,0.0,0.1,0.0,1.0
6987,Frankie Edgar,Matt Veach,Frankie Edgar,0.4,0.0,0.2356687898089172,0.16,0.3333333333333333,0.7643312101910829
6988,Matt Mitrione,Marcus Jones,Matt Mitrione,0.41,0.0,0.28125,0.52,0.75,0.71875
6989,Roy Nelson,Brendan Schaub,Roy Nelson,0.22,0.5,1.0,0.25,0.0,0.0
6990,Mark Bocek,Joe Brammer,Mark Bocek,0.37,1.0,0.9637681159420289,0.15,0.0,0.036231884057971016
6991,Kevin Ferguson,Houston Alexander,Kevin Ferguson,0.4,1.0,0.9255813953488372,0.54,0.0,0.07441860465116279
6992,Matt Hamill,Jon Jones,Matt Hamill,0.29,0.0,0.0,0.5,1.0,1.0
6993,John Howard,Dennis Hallman,John Howard,0.63,0.6666666666666666,0.2801047120418848,0.33,0.5,0.7198952879581152
6994,George Sotiropoulos,Jason Dent,George Sotiropoulos,0.27,1.0,1.0,0.36,0.0,0.0
6995,Amir Sadollah,Phil Baroni,Amir Sadollah,0.6,0.0,0.7068965517241379,0.36,0.25,0.29310344827586204
6997,Kendall Grove,Jake Rosholt,Kendall Grove,0.37,1.0,0.3279569892473118,0.41,0.75,0.6720430107526881
6998,Brian Foster,Brock Larson,Brian Foster,0.44,0.5,0.7489361702127659,0.42,0.3333333333333333,0.251063829787234
6999,Paulo Thiago,Jacob Volkmann,Paulo Thiago,0.44,0.5,0.4951856946354883,0.42,0.25,0.5048143053645117
7000,Ben Saunders,Marcus Davis,Ben Saunders,0.56,0.0,0.4462809917355372,0.33,0.0,0.5537190082644629
7001,Josh Koscheck,Anthony Johnson,Josh Koscheck,0.35,0.5,0.8475177304964538,0.22,0.0,0.1524822695035461
7002,Forrest Griffin,Tito Ortiz,Forrest Griffin,0.33,0.0,0.221875,0.32,0.3333333333333333,0.778125
7003,Rogerio Nogueira,Luiz Cane,Rogerio Nogueira,0.5,0.0,1.0,0.21,0.0,0.0
7004,Dennis Siver,Paul Kelly,Dennis Siver,0.23,0.0,0.3132530120481928,0.14,0.3333333333333333,0.6867469879518072
7005,Alexander Gustafsson,Jared Hamman,Alexander Gustafsson,0.26,0.0,1.0,0.35,0.0,0.0
